"","X","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","alpha_0","beta","gamma","w","a","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"37",37,1.458092,110.16213,0.323801,0.30646,6.3e-05,12562.56,0.572092,9.5e-05,11097.55,0.561335,0.000101,0,0.333573,0.001037,1.458092,110.16213,0.323801,0.30646,6.3e-05,9051.88720502278,0.549170621730918,0.000114946181764597,4621.27132529282,0.530301008536141,0.000154964526349634,4.47433371758008e-26,0.435435488921548,0.000140230221350661
"38",38,0.56495,111.44068,0.25889,0.300951,5.9e-05,0,0.102531,0.000317,0,0.106838,0.000204,0,0.055216,0.00011,0.56495,111.44068,0.25889,0.300951,5.9e-05,2.89617473833885e-45,0.0966356702181915,0.000130786215175952,6.1333630539872e-46,0.0826704849608705,0.000120932291391604,4.38431791256986e-47,0.0445039841226919,0.000103251207205566
"39",39,0.910283,142.11643,0.298666,0.089182,1.1e-05,51201.58,0.589542,0.000154,49706.79,0.584912,0.000164,0,0.273128,0.000346,0.910283,142.11643,0.298666,0.089182,1.1e-05,47512.6754287245,0.579472844835313,0.000189808358500069,18831.7016448604,0.570907185940687,0.000277763257097761,2.77845104372671e-54,0.0523755727937848,0.000334218492351271
"40",40,1.607447,128.42952,0.348396,0.06317,6e-06,211674.6,0.599476,0.000231,211664,0.599217,0.000231,211729,0.598699,0.000234,1.607447,128.42952,0.348396,0.06317,6e-06,207414.101794421,0.598955733339445,0.000228827948343833,207421.875904538,0.598832478141751,0.000229328580520512,16583.5799903767,0.595976313515323,0.000290765409900375
"41",41,1.69714,32.89567,0.158097,0.175761,7e-05,18168.88,0.552882,0.000164,17712.02,0.546302,0.000165,15673.21,0.522351,0.000189,1.69714,32.89567,0.158097,0.175761,7e-05,17067.7194422517,0.539029436565542,0.000168659613977193,16410.1726251161,0.531218905989264,0.000175971204822422,14435.8527423801,0.510732029029764,0.000210564867845508
"42",42,2.194001,47.46088,0.334905,0.054724,8.9e-05,19393.74,0.571649,0.000111,18926.09,0.565075,0.000114,16663.03,0.542165,0.00014,2.194001,47.46088,0.334905,0.054724,8.9e-05,18221.7110583033,0.5579361945628,0.000118507419531092,17490.0670206461,0.550440928836311,0.00012667089566959,15144.4538059845,0.530797834870953,0.000164441640067085
"43",43,2.376961,124.61648,0.228438,0.302567,5.9e-05,29635.85,0.591527,8.1e-05,29346.54,0.588153,8.5e-05,22770.38,0.559436,0.000265,2.376961,124.61648,0.228438,0.302567,5.9e-05,29084.0770984687,0.58480954712293,9.41437565773245e-05,28489.9455927658,0.580466108359582,0.0001195026984672,3.42942279906539e-20,0.269262152538234,0.000546606915257137
"44",44,1.976798,94.58384,0.346971,0.112756,2.7e-05,56910.53,0.593948,0.00013,56659.09,0.591409,0.000132,55490.75,0.583592,0.000174,1.976798,94.58384,0.346971,0.112756,2.7e-05,55549.9832558151,0.58869741050053,0.000136411567971228,55167.8397096121,0.586206308115769,0.000146669728146092,52177.5707274564,0.57397655818126,0.000302600409608077
"45",45,1.136609,94.15581,0.151444,0.154661,1.5e-05,60913.58,0.589303,0.000185,60191.63,0.585286,0.000193,55853.8,0.570928,0.000315,1.136609,94.15581,0.151444,0.154661,1.5e-05,57533.1223043605,0.580636860758072,0.000206113745412059,56242.2658005232,0.576127788328266,0.000237419196342818,24096.4786472434,0.541558489610602,0.000650360428591741
"46",46,1.099334,131.53805,0.279274,0.154405,3.6e-05,18558.84,0.57819,0.000108,16545.24,0.56823,0.00012,0,0.151382,0.001214,1.099334,131.53805,0.279274,0.154405,3.6e-05,13024.8811793936,0.555503325500257,0.000145626046417364,395.92341711028,0.5268651661359,0.000216662061692529,2.79693937634967e-50,0.0600329710777222,0.00021813651228477
"47",47,1.110919,39.89771,0.269011,0.155672,6.6e-05,8598.044,0.532455,0.000183,8191.318,0.526952,0.000176,6186.46,0.503461,0.000251,1.110919,39.89771,0.269011,0.155672,6.6e-05,7766.45137018576,0.520844015024763,0.000180827591176401,7141.78672395445,0.513386072960116,0.000198815258027828,1751.06806719672,0.474117642636277,0.000532292837487037
"48",48,2.22573,86.57001,0.311439,0.045089,8.1e-05,22623.35,0.585202,8.4e-05,22199.74,0.58001,8.8e-05,19209,0.558435,0.000148,2.22573,86.57001,0.311439,0.045089,8.1e-05,21543.6747172945,0.57432654554699,9.63450069087733e-05,20702.2771046491,0.567876599463085,0.000112178079650281,12569.2794102087,0.529495727455096,0.000247646382230865
"49",49,1.052414,84.15678,0.128418,0.047996,5.7e-05,14135.19,0.565952,0.000131,13016.98,0.555997,0.000134,6625.205,0.514773,0.000257,1.052414,84.15678,0.128418,0.047996,5.7e-05,11623.9532198713,0.545817819546217,0.000145946631233069,9766.58402264325,0.53339865325375,0.000176125205298511,16033.3223614101,0.587958814798204,0.000395576747244982
"50",50,1.293086,93.65416,0.207346,0.123839,1.6e-05,64246.78,0.591248,0.000175,63702.07,0.587819,0.00018,60819.64,0.576412,0.000268,1.293086,93.65416,0.207346,0.123839,1.6e-05,61344.1796418784,0.583910763797697,0.00018917757930444,60434.1214005879,0.580257704667339,0.000211758406503118,44520.5291362395,0.558722389288625,0.000519574437401483
"51",51,1.436949,106.12269,0.396652,0.352366,9.9e-05,5980.58,0.561596,9.5e-05,4806.978,0.549608,9e-05,1903.42,0.527247,9.8e-05,1.436949,106.12269,0.396652,0.352366,9.9e-05,3239.76524614732,0.536140721433208,9.62729933741419e-05,1112.5802579489,0.521737510262914,9.08032009011336e-05,5.23458100669348e-67,0.141269780860072,0.000435743033667761
"52",52,0.51163,107.50258,0.107167,0.268957,8e-05,0,0.100775,0.000373,0,0.107181,0.00026,0,0.053284,0.00013,0.51163,107.50258,0.107167,0.268957,8e-05,1.02472883492994e-16,0.0948894616218414,0.000151307548541339,4.1452074155273e-17,0.0805637149220111,0.000136363434883075,6.99041406940152e-18,0.0434029856794766,0.0001224603414746
"53",53,2.094253,80.0101,0.395033,0.111309,8.6e-05,17554.27,0.578657,8.5e-05,16942.14,0.571874,9e-05,12253.38,0.539946,0.000149,2.094253,80.0101,0.395033,0.111309,8.6e-05,15998.7817231435,0.564163748553518,9.84332796565674e-05,14724.4076193741,0.554923888915934,0.000114255187685387,4938.47322123642,0.508717699269789,0.000212775303020073
"54",54,1.469949,113.82116,0.110048,0.267966,6.3e-05,17276.68,0.578415,9.7e-05,16278.08,0.56985,0.000107,1986.314,0.503191,0.000412,1.469949,113.82116,0.110048,0.267966,6.3e-05,14722.1511076732,0.559841389515197,0.000127630920642858,11616.1182437647,0.543517977808735,0.000173777712840986,41.0952338257182,0.44143432847748,0.000244183895737058
"55",55,2.243453,96.88508,0.202183,0.242585,6e-05,29040.89,0.58845,9.3e-05,28663.83,0.584161,9.8e-05,25951.75,0.566495,0.000177,2.243453,96.88508,0.202183,0.242585,6e-05,27900.8722192713,0.57951031291132,0.00010648821003543,27186.3413594827,0.574450897310697,0.000125708458888597,10446.282864864,0.518469497948649,0.000351751608941427
"56",56,2.110758,95.11652,0.174141,0.301691,3e-06,532316.8,0.599937,0.000399,532316.6,0.599906,0.000399,532317.4,0.59986,0.000399,2.110758,95.11652,0.174141,0.301691,3e-06,551700.904584466,0.599893361344445,0.000405792953266258,551701.016596189,0.599879251619481,0.000405798253934127,551704.672995715,0.599866228864799,0.000405856973131372
"57",57,2.081118,42.20791,0.281655,0.320102,1.6e-05,92535.85,0.590526,0.000257,92160.33,0.58706,0.00026,90295.46,0.576308,0.000284,2.081118,42.20791,0.281655,0.320102,1.6e-05,89529.9785745991,0.583132185417557,0.00026198380994726,88889.87559053,0.579447695466227,0.000269549174728385,87330.1468594222,0.572298714674184,0.000299729667763361
