Day,Date,ID,Condition,Replicate,Count1,Count2,Count3,Mean,S.E.
10,20240301,SD100-1,SD100,1,405000,252000,258000,305000,50029.99101
10,20240301,SD100-2,SD100,2,651000,334000,575000,520000,95552.77774
10,20240301,SD100-3,SD100,3,334000,246000,352000,310666.6667,32748.19758
10,20240301,SD100-4,SD100,4,991000,428000,299000,572666.6667,212455.747
10,20240301,SD100-5,SD100,5,252000,499000,528000,426333.3333,87567.75155
10,20240301,SD100-6,SD100,6,452000,522000,399000,457666.6667,35619.90704
10,20240301,SD100-7,SD100,7,680000,252000,317000,416333.3333,133161.9732
11,20240302,Cont-1,Control,1,0,0,0,0,0
11,20240302,Cont-2,Control,2,0,0,46400,15466.66667,15466.66667
11,20240302,Cont-3,Control,3,0,0,93800,31266.66667,31266.66667
11,20240302,Lin-1,Linear,1,52800,141000,176000,123266.6667,36653.39154
11,20240302,Lin-2,Linear,2,58600,147000,246000,150533.3333,54126.55951
11,20240302,Lin-3,Linear,3,129000,258000,117000,168000,45133.13639
11,20240302,Lin-4,Linear,4,223000,129000,440000,264000,92088.72533
11,20240302,Lin-5,Linear,5,674000,282000,229000,395000,140336.5004
11,20240302,Lin-6,Linear,6,205000,147000,282000,211333.3333,39099.58795
11,20240302,Lin-7,Linear,7,117000,282000,293000,230666.6667,56921.97389
11,20240302,SD025-1,SD025,1,223000,170000,123000,172000,28884.82877
11,20240302,SD025-2,SD025,2,106000,293000,305000,234666.6667,64426.53008
11,20240302,SD025-3,SD025,3,352000,246000,194000,264000,46490.14232
11,20240302,SD025-4,SD025,4,158000,270000,416000,281333.3333,74693.44758
11,20240302,SD025-5,SD025,5,141000,141000,147000,143000,2000
11,20240302,Sd025-6,SD025,6,757000,551000,411000,573000,100485.4882
11,20240302,SD025-7,SD025,7,686000,428000,276000,463333.3333,119668.0594
11,20240302,SD100-1,SD100,1,258000,311000,323000,297333.3333,19969.42107
11,20240302,SD100-2,SD100,2,457000,369000,446000,424000,27682.72626
11,20240302,SD100-3,SD100,3,246000,317000,358000,307000,32715.94922
11,20240302,SD100-4,SD100,4,211000,340000,375000,308666.6667,49867.60249
11,20240302,SD100-5,SD100,5,264000,493000,504000,420333.3333,78231.13901
11,20240302,SD100-6,SD100,6,305000,809000,850000,654666.6667,175233.495
11,20240302,SD100-7,SD100,7,581000,886000,504000,657000,116637.6154
12,20240303,Cont-1,Control,1,0,152000,0,50666.66667,50666.66667
12,20240303,Cont-2,Control,2,0,0,0,0,0
