"","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"2407",2.275931,70.27188,0.1618,0.352,5e-05,34562.0158023116,0.599554284978545,0.000365371290170625,34561.4442046722,0.599337265822592,0.000365434601244686,34560.7594416609,0.599134228014264,0.000365534452272625,34560.2116285771,0.598968477776503,0.000365686014077359,34560.2332093698,0.598866544693191,0.000365932366146171,34561.4327299021,0.598821304685034,0.000366459118680442
"2408",1.917919,139.5701,0.217386,0.097902,6.5e-05,25348.7971014824,0.59982366050463,0.000224093752255608,25348.6928025961,0.59974175469316,0.000224109709845887,25348.6571165215,0.599684395239525,0.000224138009960909,25348.901468495,0.59966345059808,0.000224207514888991,25350.9202657768,0.599588243193333,0.000224719375939891,25481.3401437887,0.597966759406361,0.000278568413602155
"2409",1.988047,67.62308,0.378993,0.26942,4.6e-05,29418.3618350461,0.59915098989697,0.000358753394063418,29416.1171318915,0.598729609562615,0.000358920839533225,29413.1616431388,0.598313600646772,0.000359200030160548,29410.1584520612,0.597937570645615,0.000359656767167355,29408.5526965171,0.597652350657152,0.00036044661720712,29410.5523560774,0.597474826596953,0.000362093797276021
"2410",1.526099,38.19981,0.184545,0.280912,6.5e-05,17272.8424511099,0.592746228010349,0.000422566850431028,17233.4576166675,0.58991825248106,0.000425842242253711,17180.7659254821,0.587045791952028,0.00043087283092886,17115.9024046073,0.584176096677833,0.000438397950483553,17042.4461057816,0.581396195031326,0.000449646133804328,16967.4669058564,0.578832262555413,0.000466745469895321
"2411",1.983085,140.70872,0.155711,0.073148,5.1e-05,35511.3924288632,0.599948787780774,0.000257851907399009,35511.3839196525,0.599925417402267,0.000257853812470105,35511.3857376859,0.599910079881967,0.000257856930290867,35511.4250572247,0.599906309071403,0.000257864097193177,35511.7283775132,0.599888571633263,0.000257917478809454,35546.603866043,0.599525952144929,0.000263813229097292
"2412",1.670456,31.54263,0.296671,0.065927,6.4e-05,20785.3322490612,0.594377210263569,0.000455139327086165,20759.1870249238,0.592066193118889,0.000457079440001537,20723.7170673342,0.589718195390152,0.000459997758644155,20679.2127237326,0.587354942558163,0.000464232632299042,20627.0823146554,0.585021825616276,0.000470317421393586,20570.5540654346,0.582792822672792,0.000479108513873393
"2413",1.597019,82.19119,0.111167,0.067404,7e-05,20836.5397843872,0.59862775136499,0.000287826843866265,20832.7673579649,0.597988905063025,0.000288261514450915,20828.4848963263,0.59740924311067,0.000288986918712573,20825.632255886,0.596972336873415,0.000290204451126833,20827.1708441486,0.596738292418631,0.000292573773462701,20838.1728066925,0.596546867063701,0.000299507401963918
"2414",2.037462,72.6541,0.379539,0.133746,8.6e-05,17853.2545082979,0.598415844716746,0.000255937460858308,17848.4069597674,0.597653892803019,0.000256330954795417,17842.0654938475,0.596906723233355,0.000257003127563269,17835.5706924059,0.596236710621026,0.000258155051885485,17831.5661937241,0.595716487305912,0.000260318203248291,17833.752976763,0.595311690923979,0.000265486234322488
"2415",1.611108,135.92828,0.349232,0.370923,7.5e-05,12980.3936747945,0.598185412539351,0.000192962525743895,12970.9762284766,0.597311563780266,0.00019375699019991,12962.2326516322,0.596565023651707,0.000195514150433605,12965.1113031798,0.596110150865709,0.000200291880597422,12990.1571435283,0.594843607577924,0.000224420484770872,1.52706525923099e-34,0.231969051202864,0.000110585950898643
"2416",1.921257,66.98242,0.369355,0.337064,1.6e-05,79035.8935973998,0.599919692157233,0.000613114570891175,79035.8484567943,0.59987866657814,0.000613118478008432,79035.7938363642,0.599838514884285,0.000613124738550351,79035.7547246883,0.599803556578132,0.000613134211285354,79035.7840879236,0.599780479140654,0.000613148730917236,79035.9661941186,0.599771824098681,0.00061317538916182
"2417",1.090325,87.43305,0.223812,0.157566,1.2e-05,68556.4841292692,0.599781763958307,0.000628693493512036,68556.102849551,0.599671372422226,0.000628726201388144,68555.7507531979,0.599569520317288,0.000628782172911773,68555.884813777,0.599498190801705,0.000628875465664041,68557.3185574414,0.599475641904974,0.000629051250551829,68561.9214591725,0.5994565992106,0.000629551040000625
"2418",1.96162,56.76042,0.272738,0.166872,1.6e-05,98271.5109825302,0.599955708035556,0.00069841041210482,98271.5000082227,0.599933393275397,0.000698411773414491,98271.4867443714,0.599911635534445,0.000698413849798987,98271.476115261,0.599892114204906,0.000698416791588145,98271.4782222447,0.599877541937098,0.000698420867091951,98271.5094927458,0.599870212283974,0.000698427061658285
"2419",0.967127,115.68122,0.236533,0.21353,5.1e-05,12483.5888487271,0.595335403405336,0.000254934341381748,12432.2566466934,0.593243834083827,0.000258756117028771,12371.8386084121,0.591246695083233,0.000266995099509921,12333.4205624414,0.589641354488182,0.000286757010164011,12243.6467568412,0.587557763639577,0.000352305786837791,0.481834383822829,0.521632552623843,0.00174637437448008
"2420",1.530743,98.62269,0.279326,0.167336,4.6e-05,24920.5219053746,0.599168343485707,0.000302244058872054,24918.078571349,0.598761270802394,0.000302461705327912,24915.4356469044,0.598391691672524,0.000302852045043744,24914.5454601528,0.598132678864764,0.000303584522121977,24918.8622559145,0.598001711751339,0.000305394995702182,24942.9783059778,0.597607722235447,0.000314291082075172
